Id_Cliente,Id_Transportador,Nota Fiscal,Qtd Volumes,Valor Nota Fiscal,Prazo Contratado,Data Expedição,Data Entrega,Ocorrência de Entrega
254,6,48,44,2548.7,9,2023-03-10,2023-03-12,Sem Ocorrência
458,8,49,6,4015.85,39,2023-11-27,2023-12-20,Sem Ocorrência
43,2,50,49,2962.21,20,2023-12-31,2023-12-31,Entrega com Avaria
107,6,51,9,4910.5,36,2023-04-23,2023-05-01,Entrega com Avaria
242,12,52,47,634.56,36,2023-07-04,2023-07-09,Entrega com Avaria
423,4,53,33,215.97,16,2023-07-22,2023-07-31,Sem Ocorrência
232,5,54,18,2735.33,29,2023-12-09,2023-12-26,Entrega com Avaria
315,14,55,25,74.27,22,2023-06-15,2023-07-06,Entrega com Avaria
441,5,56,10,1891.19,26,2023-10-10,2023-11-04,Entrega com Avaria
214,3,57,27,3889.52,12,2023-02-09,2023-03-09,Sem Ocorrência
79,11,58,28,277.81,3,2023-09-08,2023-09-11,Sem Ocorrência
87,8,59,42,3767.05,5,2023-06-15,2023-07-11,Entrega com Avaria
55,7,60,11,354.0,13,2023-11-06,2023-11-21,Entrega com Avaria
66,16,61,2,4581.19,33,2023-12-23,2023-12-31,Sem Ocorrência
410,3,62,8,2611.8,36,2023-08-13,2023-09-01,Entrega com Avaria
175,10,63,20,1386.05,6,2023-11-28,2023-12-17,Sem Ocorrência
305,15,64,42,979.22,33,2023-07-24,2023-08-02,Entrega com Avaria
34,16,65,7,2372.25,5,2023-08-22,2023-08-28,Entrega com Avaria
130,1,66,19,2629.55,36,2023-10-13,2023-10-30,Sem Ocorrência
379,1,67,18,2035.16,23,2023-03-20,2023-03-30,Entrega com Avaria
384,16,68,3,4961.27,33,2023-07-14,2023-07-29,Entrega com Avaria
47,2,69,18,3462.98,40,2023-08-29,2023-09-04,Entrega com Avaria
469,7,70,3,4505.84,22,2023-08-29,2023-09-21,Sem Ocorrência
189,12,71,51,3680.63,25,2023-10-28,2023-11-26,Entrega com Avaria
299,8,72,25,4462.31,38,2023-08-05,2023-08-14,Entrega com Avaria
51,9,73,36,4011.5,37,2023-09-01,2023-09-19,Sem Ocorrência
442,14,74,17,3552.91,26,2023-12-02,2023-12-21,Sem Ocorrência
436,8,75,9,3770.65,20,2023-03-16,2023-03-20,Sem Ocorrência
94,5,76,20,2737.87,6,2023-05-29,2023-06-21,Sem Ocorrência
175,13,77,9,1885.88,26,2023-12-31,2023-12-31,Sem Ocorrência
318,15,78,35,3154.3,41,2023-03-05,2023-03-10,Entrega com Avaria
7,15,79,15,3478.77,32,2023-05-04,2023-06-03,Entrega com Avaria
450,3,80,29,2147.91,32,2023-11-02,2023-11-25,Entrega com Avaria
14,14,81,44,691.65,13,2023-02-10,2023-03-08,Sem Ocorrência
202,10,82,29,1533.58,35,2023-11-01,2023-11-29,Entrega com Avaria
308,2,83,44,3588.42,11,2023-05-10,2023-05-29,Entrega com Avaria
89,2,84,35,294.12,28,2023-02-04,2023-02-24,Entrega com Avaria
481,14,85,23,1456.29,41,2023-06-18,2023-07-09,Entrega com Avaria
32,9,86,18,3773.65,29,2023-08-31,2023-09-24,Entrega com Avaria
113,2,87,47,3597.23,33,2023-07-02,2023-08-01,Entrega com Avaria
106,4,88,12,1207.96,18,2023-12-11,2023-12-31,Entrega com Avaria
394,11,89,34,1801.09,33,2023-07-29,2023-08-14,Sem Ocorrência
45,5,90,26,1466.45,3,2023-08-20,2023-08-28,Sem Ocorrência
260,1,91,26,1617.18,5,2023-06-27,2023-07-17,Entrega com Avaria
93,16,92,27,787.99,2,2023-05-02,2023-05-14,Sem Ocorrência
399,7,93,48,3156.48,35,2023-01-13,2023-01-29,Entrega com Avaria
379,9,94,11,3317.4,13,2023-10-24,2023-11-12,Entrega com Avaria
257,14,95,11,2820.16,29,2023-10-11,2023-10-23,Entrega com Avaria
51,11,96,50,586.3,41,2023-12-24,2023-12-31,Sem Ocorrência
30,2,97,17,2896.18,26,2023-06-29,2023-07-19,Entrega com Avaria
19,10,98,22,4800.69,25,2023-02-09,2023-02-27,Entrega com Avaria
111,7,99,3,2685.07,18,2023-04-10,2023-05-09,Entrega com Avaria
161,15,100,49,1841.46,36,2023-10-17,2023-10-30,Entrega com Avaria
108,7,101,9,4147.26,18,2023-04-19,2023-05-12,Sem Ocorrência
283,2,102,13,1744.33,39,2023-03-28,2023-04-01,Sem Ocorrência
20,4,103,43,430.72,27,2023-03-17,2023-03-18,Sem Ocorrência
129,14,104,12,4757.77,11,2023-08-04,2023-09-02,Sem Ocorrência
37,6,105,17,2380.14,23,2023-07-01,2023-07-28,Entrega com Avaria
423,7,106,41,4451.28,15,2023-08-30,2023-09-09,Sem Ocorrência
303,12,107,37,1861.7,12,2023-01-09,2023-01-31,Entrega com Avaria
367,13,108,2,247.96,26,2023-03-04,2023-03-06,Sem Ocorrência
333,13,109,39,4102.99,20,2023-08-22,2023-09-15,Entrega com Avaria
172,15,110,23,3343.52,30,2023-07-09,2023-07-26,Entrega com Avaria
342,13,111,20,1921.82,19,2023-05-07,2023-06-02,Entrega com Avaria
146,1,112,2,4611.51,1,2023-02-09,2023-03-03,Entrega com Avaria
35,3,113,21,4319.32,18,2023-12-25,2023-12-31,Entrega com Avaria
284,9,114,38,680.47,40,2023-04-12,2023-05-12,Sem Ocorrência
296,10,115,12,4119.6,23,2023-01-03,2023-01-04,Entrega com Avaria
446,3,116,36,3903.88,16,2023-09-28,2023-10-27,Entrega com Avaria
107,12,117,37,3840.43,18,2023-10-31,2023-11-20,Entrega com Avaria
222,6,118,24,125.75,12,2023-07-23,2023-08-17,Sem Ocorrência
251,7,119,18,3887.01,3,2023-05-27,2023-06-15,Entrega com Avaria
423,15,120,31,3715.68,12,2023-12-07,2023-12-12,Entrega com Avaria
77,1,121,32,4254.71,26,2023-03-08,2023-03-31,Sem Ocorrência
127,16,122,19,3773.65,2,2023-11-18,2023-11-26,Entrega com Avaria
370,11,123,47,4794.08,15,2023-03-16,2023-04-14,Entrega com Avaria
455,2,124,41,4770.5,35,2023-01-01,2023-01-10,Entrega com Avaria
209,14,125,19,2647.44,19,2023-04-18,2023-05-16,Entrega com Avaria
27,4,126,49,324.01,27,2023-11-23,2023-12-13,Entrega com Avaria
155,10,127,8,4103.06,14,2023-11-14,2023-12-05,Entrega com Avaria
222,9,128,49,3932.51,23,2023-02-17,2023-03-04,Sem Ocorrência
178,13,129,35,116.18,39,2023-07-07,2023-07-21,Sem Ocorrência
145,9,130,3,1376.48,31,2023-01-21,2023-02-17,Entrega com Avaria
26,2,131,51,3437.72,12,2023-04-26,2023-05-26,Entrega com Avaria
208,13,132,44,1988.26,4,2023-12-30,2023-12-31,Sem Ocorrência
416,6,133,24,4096.52,27,2023-11-17,2023-11-18,Entrega com Avaria
479,7,134,13,2463.23,11,2023-02-16,2023-03-18,Entrega com Avaria
243,12,135,22,1267.5,21,2023-07-28,2023-08-19,Sem Ocorrência
454,10,136,23,377.45,15,2023-09-02,2023-09-16,Entrega com Avaria
275,11,137,9,2551.69,19,2023-08-28,2023-09-16,Sem Ocorrência
366,8,138,9,4089.31,30,2023-07-17,2023-07-31,Entrega com Avaria
61,5,139,23,143.62,35,2023-04-25,2023-05-25,Entrega com Avaria
28,4,140,12,2074.01,1,2023-03-29,2023-04-08,Entrega com Avaria
256,12,141,8,4572.33,2,2023-06-15,2023-07-04,Entrega com Avaria
396,16,142,46,4408.58,27,2023-09-07,2023-09-17,Entrega com Avaria
281,2,143,21,3472.31,30,2023-07-21,2023-08-14,Entrega com Avaria
474,8,144,38,4648.52,32,2023-03-10,2023-03-16,Sem Ocorrência
480,5,145,48,2696.62,40,2023-06-22,2023-07-20,Sem Ocorrência
59,6,146,42,1475.2,23,2023-06-19,2023-07-02,Entrega com Avaria
372,7,147,16,364.33,33,2023-01-05,2023-01-29,Sem Ocorrência
328,16,148,32,4574.73,3,2023-11-08,2023-12-06,Entrega com Avaria
164,7,149,43,1377.46,8,2023-09-30,2023-10-18,Sem Ocorrência
90,6,150,26,776.46,21,2023-05-10,2023-05-23,Entrega com Avaria
95,14,151,44,571.21,26,2023-06-02,2023-06-04,Sem Ocorrência
68,8,152,51,4734.24,34,2023-10-04,2023-10-19,Sem Ocorrência
131,16,153,47,3088.86,19,2023-07-07,2023-07-24,Sem Ocorrência
214,9,154,29,3791.37,39,2023-08-28,2023-09-24,Entrega com Avaria
426,13,155,2,3436.14,23,2023-06-10,2023-06-19,Sem Ocorrência
361,1,156,16,4978.53,7,2023-07-21,2023-08-14,Sem Ocorrência
37,10,157,1,2607.53,41,2023-10-19,2023-11-02,Sem Ocorrência
75,8,158,50,742.9,17,2023-05-29,2023-05-31,Sem Ocorrência
126,4,159,8,1187.25,17,2023-07-08,2023-08-06,Entrega com Avaria
464,15,160,5,643.56,33,2023-03-25,2023-03-28,Sem Ocorrência
39,9,161,36,2587.6,19,2023-03-30,2023-04-02,Sem Ocorrência
480,9,162,6,1533.83,30,2023-12-25,2023-12-31,Entrega com Avaria
80,15,163,10,49.69,22,2023-10-21,2023-10-24,Entrega com Avaria
35,15,164,40,4705.41,12,2023-02-22,2023-03-11,Sem Ocorrência
490,7,165,47,751.16,21,2023-10-24,2023-10-30,Sem Ocorrência
169,8,166,23,1514.45,6,2023-11-12,2023-12-03,Sem Ocorrência
378,12,167,18,2607.52,28,2023-10-14,2023-10-23,Entrega com Avaria
136,13,168,35,2988.92,32,2023-08-29,2023-09-15,Sem Ocorrência
108,9,169,1,3610.31,38,2023-06-19,2023-07-06,Entrega com Avaria
337,4,170,13,3614.99,17,2023-02-08,2023-02-15,Sem Ocorrência
64,7,171,48,151.75,23,2023-12-18,2023-12-21,Entrega com Avaria
428,16,172,49,1371.31,3,2023-05-07,2023-06-06,Entrega com Avaria
426,5,173,51,2885.05,25,2023-12-10,2023-12-11,Entrega com Avaria
426,11,174,34,4658.1,8,2023-09-11,2023-09-20,Sem Ocorrência
277,16,175,4,2081.76,3,2023-10-22,2023-10-30,Entrega com Avaria
497,8,176,27,4594.84,29,2023-07-12,2023-07-28,Sem Ocorrência
161,3,177,15,1577.75,35,2023-03-19,2023-04-17,Sem Ocorrência
227,6,178,17,2217.93,24,2023-09-06,2023-09-15,Sem Ocorrência
208,3,179,50,295.71,21,2023-03-21,2023-04-19,Entrega com Avaria
356,16,180,21,4133.22,16,2023-06-30,2023-07-17,Sem Ocorrência
130,12,181,20,2155.3,23,2023-12-20,2023-12-30,Sem Ocorrência
149,4,182,19,4199.74,24,2023-08-31,2023-09-18,Entrega com Avaria
395,3,183,25,871.51,25,2023-07-31,2023-08-04,Entrega com Avaria
231,9,184,48,2035.19,21,2023-07-06,2023-08-02,Sem Ocorrência
40,9,185,36,2943.15,25,2023-07-04,2023-08-02,Entrega com Avaria
479,5,186,14,2591.34,35,2023-07-27,2023-08-06,Entrega com Avaria
435,8,187,15,2955.22,37,2023-10-07,2023-10-19,Sem Ocorrência
108,3,188,18,4021.48,9,2023-01-09,2023-01-31,Entrega com Avaria
126,15,189,26,1444.62,29,2023-12-03,2023-12-28,Sem Ocorrência
309,3,190,21,3083.35,39,2023-12-24,2023-12-31,Entrega com Avaria
481,2,191,30,3155.4,33,2023-07-31,2023-08-13,Entrega com Avaria
453,9,192,45,3391.31,28,2023-10-29,2023-11-03,Sem Ocorrência
27,16,193,17,4552.5,38,2023-11-18,2023-11-21,Entrega com Avaria
42,7,194,18,3000.46,27,2023-07-20,2023-07-25,Entrega com Avaria
489,3,195,43,4159.55,38,2023-01-22,2023-02-04,Sem Ocorrência
267,6,196,12,2749.79,16,2023-07-03,2023-07-12,Entrega com Avaria
71,10,197,40,4176.81,39,2023-07-15,2023-08-10,Entrega com Avaria
458,16,198,32,4884.12,4,2023-04-30,2023-05-09,Sem Ocorrência
137,5,199,47,2958.63,36,2023-08-16,2023-08-18,Entrega com Avaria
109,2,200,1,4008.69,10,2023-11-24,2023-12-11,Sem Ocorrência
260,14,201,13,761.74,20,2023-08-17,2023-09-01,Sem Ocorrência
421,8,202,33,2781.81,1,2023-02-23,2023-03-02,Sem Ocorrência
234,4,203,22,4198.28,37,2023-11-30,2023-12-27,Sem Ocorrência
46,1,204,13,4056.47,5,2023-03-27,2023-04-16,Sem Ocorrência
219,9,205,3,892.2,26,2023-02-15,2023-03-09,Sem Ocorrência
275,2,206,38,3860.88,39,2023-03-01,2023-03-12,Entrega com Avaria
460,6,207,23,2157.13,7,2023-10-29,2023-10-31,Entrega com Avaria
120,10,208,45,1452.43,35,2023-08-01,2023-08-14,Sem Ocorrência
131,14,209,34,2705.35,24,2023-08-04,2023-08-13,Sem Ocorrência
94,9,210,39,403.56,19,2023-08-02,2023-08-05,Entrega com Avaria
469,3,211,33,3654.03,29,2023-03-05,2023-03-13,Sem Ocorrência
400,4,212,41,847.95,36,2023-02-02,2023-02-16,Entrega com Avaria
375,5,213,32,625.92,32,2023-06-11,2023-06-17,Entrega com Avaria
273,5,214,31,2740.42,18,2023-02-19,2023-02-25,Entrega com Avaria
28,1,215,45,4617.03,36,2023-03-14,2023-04-01,Entrega com Avaria
337,8,216,43,1653.22,21,2023-12-19,2023-12-31,Sem Ocorrência
367,6,217,45,2840.1,37,2023-01-10,2023-02-08,Sem Ocorrência
292,15,218,1,808.09,25,2023-01-08,2023-02-06,Sem Ocorrência
364,13,219,38,975.03,25,2023-11-24,2023-12-05,Sem Ocorrência
103,9,220,43,4583.3,1,2023-04-12,2023-04-21,Entrega com Avaria
439,5,221,24,264.47,40,2023-08-11,2023-09-06,Sem Ocorrência
415,16,222,17,1331.88,32,2023-01-30,2023-02-15,Sem Ocorrência
124,10,223,32,2560.38,23,2023-04-17,2023-05-04,Entrega com Avaria
80,7,224,24,3541.69,13,2023-06-27,2023-07-26,Entrega com Avaria
30,11,225,32,3779.28,3,2023-10-04,2023-10-13,Entrega com Avaria
468,8,226,29,5021.32,35,2023-03-23,2023-04-17,Entrega com Avaria
415,15,227,10,518.43,27,2023-03-02,2023-03-26,Entrega com Avaria
151,3,228,51,103.57,30,2023-04-27,2023-05-02,Sem Ocorrência
204,11,229,32,2664.3,37,2023-09-20,2023-10-02,Entrega com Avaria
240,15,230,12,333.65,27,2023-04-18,2023-04-26,Sem Ocorrência
48,6,231,36,4401.27,6,2023-09-08,2023-09-15,Sem Ocorrência
112,5,232,26,2324.41,22,2023-02-13,2023-03-10,Entrega com Avaria
58,9,233,7,1575.26,20,2023-04-29,2023-05-08,Entrega com Avaria
214,8,234,37,116.03,4,2023-09-30,2023-10-14,Sem Ocorrência
104,1,235,39,2403.2,23,2023-12-30,2023-12-31,Entrega com Avaria
375,1,236,40,3123.03,11,2023-05-11,2023-05-24,Sem Ocorrência
220,15,237,46,2484.93,32,2023-10-20,2023-10-30,Entrega com Avaria
67,14,238,26,1408.89,1,2023-08-12,2023-09-11,Sem Ocorrência
46,16,239,45,1417.78,23,2023-11-19,2023-12-18,Entrega com Avaria
17,15,240,20,3810.25,20,2023-06-22,2023-07-11,Sem Ocorrência
485,2,241,43,3712.67,9,2023-07-21,2023-08-12,Sem Ocorrência
10,2,242,8,233.34,3,2023-10-11,2023-10-18,Sem Ocorrência
74,12,243,14,3757.1,21,2023-11-13,2023-11-28,Sem Ocorrência
399,7,244,32,4941.64,28,2023-03-25,2023-03-30,Sem Ocorrência
100,14,245,50,1346.45,8,2023-12-17,2023-12-24,Entrega com Avaria
18,6,246,21,3311.74,38,2023-02-28,2023-03-25,Entrega com Avaria
319,14,247,47,4565.67,2,2023-03-09,2023-04-02,Entrega com Avaria
36,16,248,32,2376.14,33,2023-05-28,2023-06-16,Sem Ocorrência
19,4,249,8,3240.51,3,2023-07-02,2023-07-16,Entrega com Avaria
411,1,250,5,3418.78,22,2023-12-24,2023-12-31,Entrega com Avaria
116,3,251,12,1938.1,28,2023-04-10,2023-05-02,Sem Ocorrência
310,7,252,4,4178.75,15,2023-04-08,2023-04-16,Entrega com Avaria
243,12,253,31,4774.73,10,2023-06-29,2023-07-16,Sem Ocorrência
262,2,254,42,4988.31,18,2023-05-12,2023-06-03,Entrega com Avaria
270,3,255,27,314.58,13,2023-08-30,2023-09-24,Entrega com Avaria
167,1,256,25,741.14,2,2023-08-23,2023-08-25,Entrega com Avaria
183,10,257,42,4702.77,13,2023-08-25,2023-08-29,Sem Ocorrência
197,5,258,27,95.65,39,2023-11-10,2023-12-10,Entrega com Avaria
171,10,259,34,4357.78,17,2023-03-12,2023-03-16,Entrega com Avaria
104,14,260,46,2422.52,9,2023-07-03,2023-07-14,Entrega com Avaria
243,10,261,33,1593.4,38,2023-05-04,2023-05-29,Entrega com Avaria
84,11,262,37,203.95,35,2023-12-18,2023-12-31,Entrega com Avaria
400,7,263,10,3445.46,37,2023-01-28,2023-02-01,Entrega com Avaria
70,16,264,12,1339.02,6,2023-11-11,2023-11-18,Entrega com Avaria
129,7,265,2,4865.22,37,2023-01-14,2023-02-01,Entrega com Avaria
385,14,266,47,712.75,22,2023-09-03,2023-09-11,Sem Ocorrência
20,15,267,2,1965.79,34,2023-07-15,2023-07-23,Entrega com Avaria
343,3,268,4,1705.69,38,2023-12-30,2023-12-31,Sem Ocorrência
222,13,269,26,3219.85,11,2023-09-26,2023-09-28,Sem Ocorrência
409,6,270,31,33.69,21,2023-12-20,2023-12-31,Sem Ocorrência
440,7,271,43,3590.78,21,2023-01-21,2023-01-31,Sem Ocorrência
285,10,272,28,4155.17,1,2023-12-04,2023-12-05,Entrega com Avaria
19,5,273,51,1833.73,7,2023-03-04,2023-03-28,Sem Ocorrência
76,2,274,39,4151.5,21,2023-03-31,2023-04-10,Entrega com Avaria
74,11,275,27,497.25,9,2023-10-24,2023-10-30,Sem Ocorrência
461,5,276,43,3037.42,13,2023-09-06,2023-09-30,Entrega com Avaria
477,8,277,2,223.48,6,2023-09-29,2023-10-14,Entrega com Avaria
86,1,278,36,4670.16,30,2023-05-27,2023-06-19,Entrega com Avaria
24,13,279,33,1425.18,24,2023-06-12,2023-06-30,Entrega com Avaria
480,16,280,12,457.98,31,2023-09-15,2023-10-13,Entrega com Avaria
113,8,281,1,3998.2,38,2023-05-20,2023-05-30,Sem Ocorrência
233,9,282,38,730.61,23,2023-12-30,2023-12-31,Entrega com Avaria
164,15,283,3,2635.33,17,2023-03-15,2023-04-07,Sem Ocorrência
402,8,284,25,4493.45,20,2023-08-02,2023-08-12,Sem Ocorrência
232,3,285,49,1752.62,20,2023-09-06,2023-10-06,Sem Ocorrência
4,10,286,8,3245.92,32,2023-07-12,2023-07-14,Entrega com Avaria
279,15,287,14,4243.76,3,2023-02-02,2023-03-03,Entrega com Avaria
428,9,288,41,530.67,24,2023-08-15,2023-09-04,Sem Ocorrência
179,10,289,18,4143.07,24,2023-09-15,2023-09-24,Sem Ocorrência
490,6,290,15,645.63,5,2023-05-16,2023-06-02,Sem Ocorrência
280,3,291,38,911.51,35,2023-09-26,2023-10-22,Entrega com Avaria
67,5,292,8,4078.38,22,2023-12-18,2023-12-31,Sem Ocorrência
327,10,293,9,1859.12,16,2023-01-10,2023-01-18,Entrega com Avaria
425,2,294,39,3456.28,7,2023-09-12,2023-10-03,Entrega com Avaria
422,4,295,33,921.51,27,2023-05-28,2023-06-24,Sem Ocorrência
477,5,296,3,1982.59,2,2023-09-03,2023-09-28,Entrega com Avaria
320,16,297,46,2349.58,2,2023-10-26,2023-11-13,Entrega com Avaria
489,9,298,34,3357.15,6,2023-08-15,2023-08-24,Entrega com Avaria
137,6,299,19,4232.3,17,2023-11-30,2023-12-18,Entrega com Avaria
357,6,300,35,1570.68,27,2023-03-17,2023-03-30,Sem Ocorrência
260,13,301,21,645.14,21,2023-07-05,2023-07-09,Sem Ocorrência
133,5,302,43,1590.18,17,2023-03-02,2023-03-18,Sem Ocorrência
433,2,303,34,4616.79,36,2023-11-06,2023-11-27,Sem Ocorrência
285,16,304,30,2837.48,5,2023-07-24,2023-08-22,Entrega com Avaria
450,2,305,33,3424.05,30,2023-08-05,2023-08-18,Entrega com Avaria
355,15,306,4,834.39,24,2023-05-27,2023-06-16,Sem Ocorrência
432,7,307,25,3644.24,10,2023-01-06,2023-01-09,Entrega com Avaria
129,14,308,26,3987.42,30,2023-07-20,2023-08-13,Entrega com Avaria
372,5,309,1,2606.02,2,2023-01-30,2023-02-16,Sem Ocorrência
367,13,310,23,319.19,23,2023-09-12,2023-09-23,Sem Ocorrência
286,4,311,37,4546.38,34,2023-08-14,2023-09-07,Entrega com Avaria
154,1,312,12,1420.49,2,2023-03-25,2023-04-01,Sem Ocorrência
322,13,313,8,1900.98,36,2023-05-16,2023-06-10,Sem Ocorrência
403,5,314,5,2863.92,1,2023-10-03,2023-10-07,Entrega com Avaria
467,7,315,12,2373.12,19,2023-04-18,2023-05-11,Sem Ocorrência
214,14,316,35,2268.4,3,2023-08-30,2023-09-13,Sem Ocorrência
464,8,317,37,372.65,21,2023-06-10,2023-06-15,Entrega com Avaria
49,9,318,12,4765.39,28,2023-12-18,2023-12-24,Entrega com Avaria
124,7,319,10,1043.81,14,2023-06-02,2023-06-29,Sem Ocorrência
87,1,320,12,4141.83,1,2023-02-07,2023-03-02,Sem Ocorrência
318,1,321,15,2562.21,36,2023-01-21,2023-01-29,Sem Ocorrência
164,15,322,33,1357.52,9,2023-06-07,2023-06-12,Sem Ocorrência
46,1,323,41,4732.06,2,2023-03-15,2023-03-18,Sem Ocorrência
3,15,324,30,941.19,38,2023-08-22,2023-09-01,Sem Ocorrência
71,13,325,8,133.34,8,2023-11-17,2023-12-15,Entrega com Avaria
321,9,326,21,3450.8,17,2023-07-28,2023-08-03,Entrega com Avaria
34,11,327,35,3401.23,39,2023-03-04,2023-03-09,Sem Ocorrência
233,11,328,8,1361.47,33,2023-12-09,2023-12-31,Sem Ocorrência
393,6,329,48,2846.73,26,2023-06-15,2023-06-21,Sem Ocorrência
96,1,330,47,2456.81,33,2023-07-12,2023-07-18,Sem Ocorrência
491,2,331,25,837.0,22,2023-07-10,2023-07-30,Sem Ocorrência
6,16,332,1,3712.62,16,2023-04-12,2023-05-07,Sem Ocorrência
413,14,333,1,2591.16,14,2023-08-27,2023-09-01,Sem Ocorrência
321,1,334,4,910.94,11,2023-07-20,2023-08-09,Entrega com Avaria
304,3,335,9,3792.71,30,2023-09-04,2023-09-14,Entrega com Avaria
431,9,336,17,1168.46,34,2023-08-04,2023-08-14,Entrega com Avaria
326,5,337,9,2068.82,17,2023-06-01,2023-06-19,Sem Ocorrência
438,3,338,31,4200.7,31,2023-04-19,2023-05-14,Sem Ocorrência
474,11,339,27,3581.16,5,2023-11-11,2023-11-22,Sem Ocorrência
289,10,340,20,2808.98,31,2023-05-24,2023-06-19,Entrega com Avaria
411,13,341,49,802.17,8,2023-03-24,2023-03-28,Sem Ocorrência
492,4,342,22,4669.77,26,2023-04-16,2023-04-22,Sem Ocorrência
293,14,343,15,2644.99,24,2023-01-25,2023-01-29,Entrega com Avaria
352,7,344,5,4809.64,6,2023-11-29,2023-12-20,Sem Ocorrência
31,6,345,15,1988.86,20,2023-09-24,2023-10-22,Sem Ocorrência
107,9,346,39,3262.33,12,2023-12-09,2023-12-16,Sem Ocorrência
27,3,347,24,2870.59,28,2023-11-17,2023-11-23,Entrega com Avaria
116,7,348,17,912.28,38,2023-11-28,2023-12-22,Entrega com Avaria
195,10,349,30,4724.9,40,2023-02-14,2023-02-26,Entrega com Avaria
21,9,350,23,3815.53,30,2023-05-17,2023-06-15,Sem Ocorrência
56,10,351,30,55.79,10,2023-01-18,2023-02-15,Entrega com Avaria
81,14,352,2,4648.55,14,2023-08-23,2023-09-02,Entrega com Avaria
8,3,353,21,572.78,35,2023-06-05,2023-07-05,Entrega com Avaria
192,12,354,43,245.8,17,2023-07-10,2023-07-22,Entrega com Avaria
484,14,355,38,133.21,41,2023-03-28,2023-03-30,Entrega com Avaria
309,5,356,15,440.92,39,2023-07-25,2023-08-06,Sem Ocorrência
